,index,station,station_name,elevation,latitude,longitude,date,mdpr,measurement flag,quality flag,source flag,time of observation,dapr,measurement flag.1,quality flag.1,source flag.1,time of observation.1,prcp,measurement flag.2,quality flag.2,source flag.2,time of observation.2,snwd,measurement flag.3,quality flag.3,source flag.3,time of observation.3,snow,measurement flag.4,quality flag.4,source flag.4,time of observation.4,tmax,measurement flag.5,quality flag.5,source flag.5,time of observation.5,tmin,measurement flag.6,quality flag.6,source flag.6,time of observation.6,tobs,measurement flag.7,quality flag.7,source flag.7,time of observation.7,wt09,measurement flag.8,quality flag.8,source flag.8,time of observation.8,wt01,measurement flag.9,quality flag.9,source flag.9,time of observation.9,wt06,measurement flag.10,quality flag.10,source flag.10,time of observation.10,wt05,measurement flag.11,quality flag.11,source flag.11,time of observation.11,wt02,measurement flag.12,quality flag.12,source flag.12,time of observation.12,wt11,measurement flag.13,quality flag.13,source flag.13,time of observation.13,wt04,measurement flag.14,quality flag.14,source flag.14,time of observation.14,wt08,measurement flag.15,quality flag.15,source flag.15,time of observation.15,wt03,measurement flag.16,quality flag.16,source flag.16,time of observation.16,date_only,day,month,tminf,tmaxf,avgtempf
0,11134,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140101,-9999, , , ,9999,-9999, , , ,9999,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,89, , ,W,2400,-10, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-01,1,1,30.2,48.02,39.11
1,11135,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140102,-9999, , , ,9999,-9999, , , ,9999,86, , ,W,2400,0, , ,W,9999,48, , ,W,9999,39, , ,W,2400,6, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-02,2,1,33.08,39.02,36.05
2,11136,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140103,-9999, , , ,9999,-9999, , , ,9999,0,T, ,W,2400,50, , ,W,9999,0,T, ,W,9999,6, , ,W,2400,-77, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-03,3,1,18.14,33.08,25.61
3,11137,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140104,-9999, , , ,9999,-9999, , , ,9999,0, , ,W,2400,30, , ,W,9999,0, , ,W,9999,11, , ,W,2400,-82, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-04,4,1,17.24,33.98,25.61
4,11138,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140105,-9999, , , ,9999,-9999, , , ,9999,28, , ,W,2400,30, , ,W,9999,0, , ,W,9999,56, , ,W,2400,-5, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-05,5,1,31.1,42.08,36.59
5,11139,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140106,-9999, , , ,9999,-9999, , , ,9999,33, , ,W,2400,0, , ,W,9999,0, , ,W,9999,94, , ,W,2400,-116, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-06,6,1,11.12,48.92,30.02
6,11140,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140107,-9999, , , ,9999,-9999, , , ,9999,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,-60, , ,W,2400,-143, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-07,7,1,6.26,21.2,13.73
7,11141,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140108,-9999, , , ,9999,-9999, , , ,9999,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,-5, , ,W,2400,-105, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-08,8,1,13.1,31.1,22.1
8,11142,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140109,-9999, , , ,9999,-9999, , , ,9999,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,50, , ,W,2400,-16, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-09,9,1,29.12,41.0,35.06
9,11143,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3.0,38.8483,-77.0341,1970-01-01 00:00:00.020140110,-9999, , , ,9999,-9999, , , ,9999,145, , ,W,2400,0, , ,W,9999,0, , ,W,9999,39, , ,W,2400,-21, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,2014-01-10,10,1,28.22,39.02,33.62
